Beam,Station (m),ETABS M3 (kN·m),2D M (kN·m),3D M (kN·m),FEM M (kN·m),Δ2D%,Δ3D%,ΔFEM%
B29,0.100,-5.66,-8.94,-9.03,-3.56,-58.0%,-59.6%,+37.0%
B29,0.550,1.02,-1.24,-1.29,0.21,-222.0%,-226.4%,-79.6%
B29,1.000,7.36,3.78,3.77,2.48,-48.7%,-48.7%,-66.3%
B29,1.000,7.91,3.78,3.77,2.48,-52.3%,-52.3%,-68.6%
B29,1.500,9.66,6.21,6.25,3.25,-35.7%,-35.3%,-66.3%
B29,2.000,11.00,5.35,5.41,2.18,-51.4%,-50.8%,-80.2%
B29,2.000,10.77,5.35,5.41,2.18,-50.4%,-49.8%,-79.8%
B29,2.450,6.99,1.74,1.82,-0.37,-75.1%,-73.9%,-105.3%
B29,2.900,2.88,-4.54,-4.44,-4.41,-257.8%,-254.5%,-253.3%
B29,0.100,-4.98,-8.94,-9.03,-3.56,-79.3%,-81.1%,+28.6%
B29,0.550,0.75,-1.24,-1.29,0.21,-266.7%,-272.6%,-72.2%
B29,1.000,6.09,3.78,3.77,2.48,-37.9%,-38.0%,-59.2%
B29,1.000,6.55,3.78,3.77,2.48,-42.3%,-42.4%,-62.1%
B29,1.500,8.10,6.21,6.25,3.25,-23.3%,-22.9%,-59.9%
B29,2.000,9.18,5.35,5.41,2.18,-41.8%,-41.1%,-76.3%
B29,2.000,8.99,5.35,5.41,2.18,-40.5%,-39.9%,-75.8%
B29,2.450,5.85,1.74,1.82,-0.37,-70.2%,-68.9%,-106.3%
B29,2.900,2.32,-4.54,-4.44,-4.41,-295.3%,-291.2%,-289.7%
B5,0.100,0.69,-4.54,-4.50,-4.40,-755.3%,-749.5%,-735.6%
B5,0.550,4.35,1.74,1.78,-0.34,-60.0%,-59.1%,-107.7%
B5,1.000,7.56,5.35,5.38,2.22,-29.3%,-28.8%,-70.6%
B5,1.000,7.70,5.35,5.38,2.22,-30.5%,-30.0%,-71.1%
B5,1.500,6.60,6.21,6.24,3.30,-5.9%,-5.5%,-50.0%
B5,2.000,4.95,3.78,3.78,2.53,-23.7%,-23.5%,-48.9%
B5,2.000,4.58,3.78,3.78,2.53,-17.5%,-17.3%,-44.8%
B5,2.450,-1.39,-1.24,-1.26,0.24,+10.6%,+9.5%,+117.2%
B5,2.900,-7.81,-8.94,-8.98,-3.55,-14.4%,-14.9%,+54.5%
B5,0.100,0.51,-4.54,-4.50,-4.40,-993.6%,-985.8%,-966.8%
B5,0.550,3.72,1.74,1.78,-0.34,-53.1%,-52.1%,-109.1%
B5,1.000,6.39,5.35,5.38,2.22,-16.4%,-15.8%,-65.2%
B5,1.000,6.51,5.35,5.38,2.22,-17.8%,-17.3%,-65.8%
B5,1.500,5.67,6.21,6.24,3.30,+9.7%,+10.1%,-41.7%
B5,2.000,4.17,3.78,3.78,2.53,-9.3%,-9.2%,-39.3%
B5,2.000,3.86,3.78,3.78,2.53,-2.0%,-1.9%,-34.4%
B5,2.450,-1.19,-1.24,-1.26,0.24,-4.8%,-6.1%,+120.1%
B5,2.900,-6.76,-8.94,-8.98,-3.55,-32.2%,-32.8%,+47.4%
B10,0.200,-4.85,-6.67,-6.40,-2.60,-37.4%,-31.8%,+46.5%
B10,0.600,0.46,-0.28,0.15,0.53,-161.1%,-67.6%,+16.3%
B10,1.000,5.40,3.99,4.53,2.48,-26.1%,-16.0%,-54.2%
B10,1.000,5.69,3.99,4.53,2.48,-29.9%,-20.3%,-56.5%
B10,1.500,6.46,6.35,6.98,3.25,-1.8%,+8.1%,-49.7%
B10,2.000,6.66,5.39,6.06,2.18,-19.1%,-8.9%,-67.3%
B10,2.000,6.45,5.39,6.06,2.18,-16.5%,-6.0%,-66.2%
B10,2.400,2.51,2.24,2.90,-0.01,-10.9%,+15.6%,-100.2%
B10,2.800,-1.79,-3.04,-2.42,-3.37,-69.3%,-34.9%,-87.8%
B10,0.200,-4.21,-6.67,-6.40,-2.60,-58.2%,-51.8%,+38.4%
B10,0.600,0.38,-0.28,0.15,0.53,-173.7%,-61.0%,+40.3%
